"Text","Difficulty"
"Pour moi, c'était un cadeau de rêve.","A1"
"A Barcelone, mes parents ont réservé un appartement près de la plage.","A1"
"À quelle heure on part.","A1"
"Ainsi, Pierre a le privilège d'admirer chaque jour l'un des monuments les plus visités au monde.","A1"
"Allumez votre téléphone mobile.","A1"
"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus.","A1"
"Après, je vais dans la cuisine et je bois mon café.","A1"
"Arthur lace ses chaussures à rayures.","A1"
"Aujourd’hui, avec mes parents et ma sœur nous partons en voyage.","A1"
"Aujourd’hui, on est samedi, nous rendons visite à notre grand-mère.","A1"
"Avec le printemps, qui commence en mars, le soleil est de retour et le temps se réchauffe.","A1"
"Bob va au cinéma.","A1"
"Bonjour, je m'appelle Igor.","A1"
"Bruno met son chapeau rigolo.","A1"
"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre, parce que la ville est très grande.","A1"
"C'est tellement amusant de réciter la comptine des vêtements.","A1"
"C'est un spectacle magique.","A1"
"C’est aussi le moment idéal pour profiter de l’eau et aller nager à la mer ou à la piscine.","A1"
"C’est la couleur de nombreux fruits et légumes, comme les tomates, les fraises ou les cerises.","A1"
"C’est la saison la plus chaude, pendant laquelle on recommence à mettre ses lunettes de soleil et à aller se promener sur la plage.","A1"
"C’est le moment de sortir son manteau et son parapluie.","A1"
"C’est ma meilleure amie.","A1"
"ça me donne faim tout ça.","A1"
"Ce magasin n'est pas loins de chez moi.","A1"
"Ce n'est pas étonnant, car c'est une saison mystérieuse.","A1"
"Ce sont des vacances très relaxantes.","A1"
"Cet après-midi, mes amis et moi allons au cinéma.","A1"
"Cette période marque l’arrivée de Noël et des fêtes de fin d’année.","A1"
"Clément enfile ses gants blancs.","A1"
"Clive Owen et elle jouent un couple d’espions.","A1"
"D'abord, je préfère quand il ne fait pas trop chaud, et j'adore la lumière dorée des belles journées d'automne.","A1"
"Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants.","A1"
"Delphine, je t'attends au coin de la rue, devant la pharmacie.","A1"
"Durant cette saison, les feuilles des arbres tombent et couvrent le sol d’un tapis brun, rouge et jaune.","A1"
"Edouard aime beaucoup son foulard noir.","A1"
"Elise boutonne sa chemise grise.","A1"
"Elle a 20 ans.","A1"
"Elle a 84 ans et elle habite à Antibes.","A1"
"Elle a trois enfants, deux garçons et une fille.","A1"
"Elle fait des bons gâteaux.","A1"
"Elle passe aussi à la boulagerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner.","A1"
"Elles m’ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs.","A1"
"Elles sont sympathiques.","A1"
"En général, c'est à ce moment-là que je me rends compte que je suis en retard.","A1"
"En général, elle loue une maison à la campagne.","A1"
"En les mélangeant, on peut former d’autres couleurs.","A1"
"Enfin, l’été arrive à la fin du mois de juin.","A1"
"Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit.","A1"
"Ensuite, je prends ma douche pour finir de me réveiller.","A1"
"Entre les deux, il y a le gris : c’est un mélange de blanc et de noir.","A1"
"Et bien sûr, c'est également la saison parfaite pour savourer une boisson chaude emmitouflée dans une couverture devant un bon feu de cheminée.","A1"
"Et bien sûr, nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden.","A1"
"Fais vite, le film commence dans 10 minutes.","A1"
"Geoffrey adore son béret bleu foncé.","A1"
"Il a rendez-vous chez le médecin.","A1"
"Il est 17h.","A1"
"Il est agréable de marcher dans les petites rues pour admirer l'architecture des maisons anciennes.","A1"
"Il est agréable de se promener pour observer les papillons, les abeilles et écouter le chant des oiseaux.","A1"
"Il est l’heure de déjeuner.","A1"
"Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée.","A1"
"Il n'aimait pas les plats de la cantine.","A1"
"Il ne reste pas seul chez lui ce soir.","A1"
"Il ne vient pas à la fête ce soir.","A1"
"Il vient à la cérémonie ce soir.","A1"
"Il vit à Paris avec ses parents et sa petite sœur Julie, âgée de 8 ans.","A1"
"Il y a un quartier très agréable pour aller se balader, lorsqu'il fait beau.","A1"
"Ils aiment venir passer le week-end à la maison, ainsi mes enfants jouent avec leurs cousins dans le jardin.","A1"
"Ils prennent des risques énormes.","A1"
"Ils veulent admirer la célèbre Sagrada Familia, se balader dans le Parc Güell et goûter la nourriture locale.","A1"
"J'ai une soeur.","A1"
"J'espères que tu vas bien.","A1"
"J'habite une belle ville dans le nord de la France.","A1"
"J’achète un livre, un pantalon et une nouvelle lampe pour ma chambre.","A1"
"J’adore ma grand-mère, elle très gentille.","A1"
"J’ai déjà pris l’avion car nous sommes allés à Rome en Italie, il y a deux ans.","A1"
"J’ai deux frères.","A1"
"J’ai hâte que tu viennes me rendre visite le mois prochain, pour te montrer mes endroits préférés.","A1"
"J’ai passé une très bonne journée de vacances.","A1"
"J’aime beaucoup l’école.","A1"
"J’aime beaucoup lire et je nage très bien.","A1"
"J’en profite pour faire une grasse-matinée et je sors de mon lit à dix heures.","A1"
"J’enfile une jolie robe et je pars rejoindre mes amis au centre commercial.","A1"
"J’espère qu’il y aura beaucoup de soleil.","A1"
"Je commande du poisson avec de la purée.","A1"
"Je cours dans ma chambre, et je me dépêche de m'habiller et de me maquiller, puis je vais prendre le métro.","A1"
"Je débouche votre lavabo ou votre baignoire.","A1"
"Je dois beaucoup travailler mais ça me plaît.","A1"
"Je m’appelle Hugo et j’ai seize ans.","A1"
"Je m’appelle Jessica.","A1"
"Je m’appelle Marie.","A1"
"Je mange deux tartines de pain, un grand bol de café et un yaourt aux fruits rouges.","A1"
"Je n'ai aucune nouvelle depuis son départ.","A1"
"Je n'ai pas vraiment d'appétit le matin, même si je sais que c'est le repas le plus important de la journée.","A1"
"Je n’aime pas la pluie, surtout pendant les vacances.","A1"
"Je ne sais pas où elles sont.","A1"
"Je partage un appartement avec deux autres étudiantes.","A1"
"Je peux voir le docteur le matin.","A1"
"Je prends mon petit-déjeuner dans la cuisine.","A1"
"Je profite aussi du petit déjeuner pour lire les infos en ligne.","A1"
"Je rentre à la maison à 19 heures.","A1"
"Je reste à la maison.","A1"
"Je suis arrivée il y a un mois et j’habite en colocation avec deux copines.","A1"
"Je suis bien arrivée à Londres pour ma dernière année d’études de marketing à l’université.","A1"
"Je suis chez Camille.","A1"
"Je suis contente, je vais voir Amélie.","A1"
"Je suis désolé.","A1"
"Je suis en vacances.","A1"
"Je suis malade.","A1"
"Je suis secrétaire et je m’occupe de mes deux enfants quand ils rentrent de l’école.","A1"
"Je suis très gourmande, et j'adore également l'automne à cause de ses fruits et légumes de saison.","A1"
"Je suis une fille, je suis française et j’ai treize ans.","A1"
"Je t'appelle demain.","A1"
"Je t'invite à manger chez moi mardi 23 mars.","A1"
"Je t’envoie de gros bisous.","A1"
"Je vais à l’école à Nice, mais j’habite à Cagnes-Sur-Mer.","A1"
"Je vais aller la chercher.","A1"
"Je vais en Grèce avec mon amie.","A1"
"Je vais ensuite prendre ma douche dans ma salle-de-bain.","A1"
"Je vais étudier l'anglais.","A1"
"Je vous coupe les cheveux.","A1"
"L'après-midi, elle se promène dans la campagne, ou elle explore la région.","A1"
"L'autonomne est ma saison préferée et voici mes raisons.","A1"
"L’automne débute fin septembre.","A1"
"L’automne est aussi la saison des récoltes : on ramasse le maïs, le tournesol, les pommes, le raisin… Vient ensuite l’hiver, la saison la plus froide qui commence fin décembre.","A1"
"L’orange est la couleur de certains fruits, comme l’orange qui porte son nom, la clémentine ou l’abricot.","A1"
"L’une s’appelle Jennifer et elle a 21 ans et l’autre s’appelle Ashley et elle a 22 ans.","A1"
"La nature change et devient plus secrète, les animaux se cachent et les contes et les légendes fleurissent.","A1"
"La nature redevient verte : l’herbe et les fleurs poussent à nouveau.","A1"
"Là-bas tout le monde parle anglais.","A1"
"Laura est la sœur de Julie.","A1"
"Le bleu est très présent dans la nature : c’est la couleur du ciel et de la mer.","A1"
"Le brun, aussi appelé marron, est la couleur du café, de la terre et de l’écorce des arbres.","A1"
"Le dimanche, nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux.","A1"
"Le jaune est la couleur des bananes, du maïs ou des poussins par exemple.","A1"
"Le matin, elle va au marché du village pour acheter des fruits et des légumes, et pour discuter avec ses voisins.","A1"
"Le paysage devient tout blanc à cause de la neige et de la glace.","A1"
"Le premier s’appelle Thomas, il a quatorze ans.","A1"
"Le quartier est tranquille et agréable, et pas trop loin de l’Université.","A1"
"Le rouge est une couleur vive.","A1"
"Le rouge, le jaune et le bleu sont les trois couleurs primaires.","A1"
"Le second s’appelle Yann et il a neuf ans.","A1"
"Le service des affaires socio-culturelles de l’Université.","A1"
"Le temps devient de plus en plus frais, il commence à y avoir de la pluie et du vent.","A1"
"Le train de ma soeur arrive à 20h05.","A1"
"Le trajet ne dure que 20 minutes.","A1"
"Le vert par exemple, est la couleur de l’herbe et des feuilles des arbres.","A1"
"Le violet se retrouve chez de nombreuses fleurs comme le lilas.","A1"
"Le week-end, Pierre aime passer du temps en famille.","A1"
"Les enfants aiment faire du vélo avec leur grand-père après l’école.","A1"
"Les grands-parents de nos enfants aiment passer du temps avec nous lors des vacances.","A1"
"Les parents de mon mari habitent très loin de chez nous, mais mes parents ont une maison à quelques kilomètres de la nôtre.","A1"
"Les vacances sont les moments préférés de Pierre car il a pour habitude d'aller chez ses grands-parents qui vivent dans une ferme de la campagne normande.","A1"
"Londres est différent de Paris.","A1"
"Lundi, je retourne à l’école.","A1"
"Ma boisson préferée est un chocolat chaud avec une pincée de cannelle.","A1"
"Ma famille se compose de quatre personnes.","A1"
"Ma fille fait parfois des gâteaux avec sa grand-mère le samedi après-midi.","A1"
"Ma mère est allemande et est avocate.","A1"
"Ma sœur habite également dans la même ville que nous.","A1"
"Ma sœur préfère aller à la plage pour lire et bronzer.","A1"
"Ma sœur s’appelle Laura, elle a treize ans.","A1"
"Manon admire son pantalon marron.","A1"
"Marie aime aller en vacances en France.","A1"
"Mes frères et moi parlons français, italien et allemand à la maison.","A1"
"Mes matières préférées sont le français et le sport.","A1"
"Mes parents souhaitent louer des vélos pour visiter Barcelone.","A1"
"Moi, je veux aller au zoo et à l’aquarium… et manger des glaces.","A1"
"Mon mari est professeur d’anglais dans une école qui se trouve à 20 kilomètres de la maison.","A1"
"Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans.","A1"
"Mon papa est italien et il est fleuriste.","A1"
"Mon réveil sonne à six heures et démie, je me rendors pendant un quart d'heure et je me lève vers sept heures moins le quart.","A1"
"Notre quartier est calme et paisible.","A1"
"Nous allons au restaurant.","A1"
"Nous avons également des animaux : un chat, un chien, deux lapins et des poissons rouges.","A1"
"Nous avons une grande maison avec un chien, un poisson et deux chats.","A1"
"Nous irons aussi nous amuser à Camden Town et voir des concerts.","A1"
"Nous jouons dans le jardin quand il fait beau ou dans la maison quand il pleut.","A1"
"Nous les mangeons ensemble le samedi soir.","A1"
"Nous séjournons pendant deux semaines à Barcelone.","A1"
"Nous sommes à l’aéroport : direction Barcelone en Espagne.","A1"
"Nous vivons dans une jolie maison avec un grand jardin.","A1"
"On achète des médicaments.","A1"
"On fait réparer ses chaussures.","A1"
"On fait soigner ses dents.","A1"
"On mange à 20 Heures ou plus tard.","A1"
"On mange des crêpes.","A1"
"On peut encore se promener dans les bois, et admirer toutes les couleurs chaleureuses comme le rouge, l'orange et le jaune.","A1"
"On reçoit des soins esthétiques.","A1"
"Où je peux acheter un billet de train.","A1"
"Oui, cher journal, c'est décidé, lundi prochain, je mettrai mon réveil plus tôt.","A1"
"Par exemple, les bus sont rouges et certaines stations de métro semblent très anciennes.","A1"
"Parfois, comme ca matin, il me reste des croissants du weekend, sinon je mange des biscottes beurrées.","A1"
"Parfois, elle fait une bonne tarte aux fruits et elle invite des amis pour le goûter.","A1"
"Pas de fête avec vous ce soir.","A1"
"Peut-être que je devrais avancer un peu mon réveil pour éviter ça.","A1"
"Peux-tu me donner l'heure du déjeuner, la date et l'adresse de ton appartement.","A1"
"Pierre est un jeune garçon de 14 ans.","A1"
"Potirons, chataîgnes, courges, pommes mais aussi des épices délicieuses comme la cannelle, la noix et le gingembre.","A1"
"Pour gagner du temps, achetez votre billet de train sur notre site internet.","A1"
"Pour se déplacer, il y a des bus, des vélos et un métro.","A1"
"Pour se rendre au collège, Pierre prend le métro à la station Ecole Militaire et sort au collège Claude Debussy.","A1"
"Pourrais-tu m'accompagner.","A1"
"Prends ton maillot de bain.","A1"
"Qu'est-ce que tu fais pour les vacances cette année.","A1"
"Qu'est-ce que tu vas faire l'année prochaine.","A1"
"Rafael est très accueillant et il prépare des pâtes délicieuse.","A1"
"Salue tes parents de ma part.","A1"
"Son appartement est loin de l’Université.","A1"
"Tapez votre message sur les touches de votre téléphone.","A1"
"Tous les lundis, c'est la même chose.","A1"
"Tous les quatre en profitent pour visiter les musées parisiens, aller au cinéma, faire du shopping, ou se balader dans l'un des nombreux parcs de la capitale.","A1"
"Toute la petite famille apprécie alors l'air pur, la nature et le calme pendant quelques semaines avant de rentrer à Paris.","A1"
"Toute la petite famille habite dans un grand appartement au 3ème étage d'un immeuble situé près de la Tour Eiffel.","A1"
"Tu as des nouvelles de Paul.","A1"
"Tu as vu mes soeurs.","A1"
"Tu es un vrai chef cuisinier.","A1"
"Tu me manques beaucoup.","A1"
"Tu viens en vacances au ski avec nous cet hivers.","A1"
"Un saison parfaite pour les sorcières.","A1"
"Violette porte ses lunettes très chouettes.","A1"
"Vivement demain.","A1"
"En plus, il y avait le grand parasol qui prenait toute la place 
.","A2"
"Et puis surtout, j'attendais ton arrivée 
.","A2"
"Ils faisaient aussi la course sur la plage, et Louis gagnait souvent, parce qu'il était le plus rapide 
.","A2"
"Ils nageaient jusqu'à la bouée puis revenaient aussi vite que possible.","A2"
"Je pouvais faire autant de bruit que je voulais
.","A2"
"Mais pas de maison de poupées 
.","A2"
"Mon grand frère Louis était très paresseux: il n'aidait jamais 
.","A2"
"Nous nous installions dans la maison de vacances, puis nous prenions l'apéritif avec les voisins.","A2"
"Nous passions les grandes vacances à Valras, dans le sud de la France 
.","A2"
"Quand nous arrivions à Valras, nous étions fatigués mais contents.","A2"
"Quelques prises de becs pourtant avec des mecs très incorrecs [sic : incorrects] de Supélec qui l'ont traité de tête de cake.","A2"
"» à ses proches.","A2"
"À cette occasion, les parents cachent des oeufs en chocolat dans la maison et le jardin, et les enfants s'amusent à les chercher.","A2"
"A gauche, c’est ma salle de bain, avec vue sur mon jardin.","A2"
"A l’intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis.","A2"
"À midi, c’est l’heure de déjeuner.","A2"
"Adolescent, je voulais devenir pompier.","A2"
"Alors le Salon du Chocolat est l'événement à ne pas manquer.","A2"
"Après son repas, il retourne à la salle de bain pour se brosser les dents et pour aller aux toilettes.","A2"
"Au début, ça a été très compliqué à mettre en place en fin de compte.","A2"
"Au moment de payer, notre petit garçon est toujours volontaire.","A2"
"Aujourd'hui, c'est une tarte aux framboises avec de la confiture faite maison.","A2"
"Aujourd’hui, je vais te présenter ma famille.","A2"
"Autour du chef David Le Quellec, vingt-cinq cuisiniers préparent les trois menus différents du jour.","A2"
"Avec 600 repas à servir en une heure, aucune place à l'improvisation.","A2"
"Avec deux jeunes mecs encore en fac, qui chantent tous les soirs au Caveau de la Bolec.","A2"
"Avez-vous des déclarations à faire à ce sujet.","A2"
"C'est dans cette station balnéaire de Normandie qu'a lieu chaque année depuis 1975 le Festival du Cinéma Américain.","A2"
"C'est notre petite tradition à nous cinq.","A2"
"C'est parce qu'il n'aimait pas les plats de la cantine.","A2"
"C’est déjà le lundi, et toute la semaine recommence.","A2"
"C’est ici que je cuisine des gâteaux et des pâtisseries.","A2"
"C’est la commémoration, c’est-à-dire la fête anniversaire, de la fin de la Seconde Guerre mondiale.","A2"
"C’est le plat préféré de Manon.","A2"
"C’est une fête chrétienne qui célèbre la naissance de Jésus.","A2"
"Ce jour-là, on offre traditionnellement du muguet, une petite fleur blanche, à ses proches.","A2"
"Ce qui devait être une tâche facile se complique quand l'une des filles du gendarme s'avère être une des nudistes.","A2"
"Ce rendez-vous des gourmands et des passionnés de chocolat a lieu tous les ans entre fin octobre et début novembre à Paris.","A2"
"Ce sont des jours fériés, c’est-à-dire des jours pendant lesquels on ne travaille pas.","A2"
"Ce sont elles qui les comptent et les mettent dans notre panier.","A2"
"Certaines fêtes sont civiles et d’autre sont d’origine religieuses.","A2"
"Chaque jour, Alice se lève vers six heures et prend un petit-déjeuner composé de pain, de fromage et d’œufs.","A2"
"Chaque soir, j’accompagne ma mère en vélo pour faire une promenade dans le parc avec notre chien Snowy.","A2"
"Clément et Manon ont très faim et la pendule du salon sonne midi.","A2"
"Comment tu as trouvé le repas de ce midi.","A2"
"Côté magasins, on peut trouver de tout dans un centre commercial : hypermarchés pour faire ses courses, boutiques de vêtements et de sport, librairies, etc.","A2"
"David, lui, va à l’école le mercredi matin.","A2"
"De longues heures s’enchaînent pendant lesquelles Alice et ses camarades apprennent de nouvelles choses.","A2"
"Découvrez les plus beaux monuments de la capitale.","A2"
"Déjà les premières 6 représentations annulées.","A2"
"Demain, j'ai été fêter mon anniversaire.","A2"
"Depuis 127 ans, le plus célèbre cabaret du monde colore les nuits blanches de la capitale de ses strass et ses paillettes.","A2"
"Depuis un an, mon mari Cédric, nos trois enfants et moi allons au marché tous ensemble le dimanche matin.","A2"
"Des feux d’artifices et des défilés militaires sont organisés.","A2"
"Donc, juste dans ma zone personnelle, donc, je fais la mise en place pour une centaine de clients ce soir.","A2"
"Elle célèbre la prise de la Bastille qui a eu lieu le 14 juillet 1789.","A2"
"Elle est plus jolie que celle que j’avais avant.","A2"
"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.","A2"
"Elle joue du violon comme un grand artiste.","A2"
"Elle partage un appartement avec deux garçons.","A2"
"Elle se situe au bout du couloir, à droite.","A2"
"Elle vient avec son mari et mes cousins Lionel et Marcel.","A2"
"En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux.","A2"
"En été comme en hiver, les gens se bousculent dans ces endroits fantastiques remplis de boutiques variées et d'animations diverses.","A2"
"En France, il y a au total 11 fêtes pendant l’année.","A2"
"Et toi, quand est-ce que tu rentres à Tours.","A2"
"Étranger, toujours :À Paris, Jacques Chirac a remis un chèque aux jeunes de la fac de I'ESSEC.","A2"
"Hier, je suis allé au cinema.","A2"
"Ici, il fait beau et chaud.","A2"
"Il a un appartement.","A2"
"Il agite son petit nez rose quand il me voit Ma grand-mère fait des gâteaux tous les jours.","A2"
"Il doit étudier et écrire pendant quatre heures le matin et il ne peut se reposer que vingt minutes au moment de la récréation, à dix heures du matin.","A2"
"Il doit se dépêcher pour ne pas être en retard à l’école.","A2"
"Il est interdit de fumer.","A2"
"Il est intéressant de noter que jusqu'en 1995, le Festival de Deauville n'était pas compétitif.","A2"
"Il faisait toujours très beau et surtout très chaud.","A2"
"Il fait très beau.","A2"
"Il faut alors prendre le métro durant vingt minutes avant d'arriver devant l'école.","A2"
"Il faut du temps et du courage pour soigner toute cette ménagerie En plus des animaux, il faut aussi s'occuper du potager de mon papy.","A2"
"Il n'aime pas donner les billets de vingt ou de cinquante euros.","A2"
"Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.","A2"
"Il pleurait à chaque fois.","A2"
"Il préfère quand les sommes ne sont pas arrondies.","A2"
"Il reste au lit un quart d’heure dans le noir avant de se lever, pour faire durer la nuit.","A2"
"Il sait écrire son nom.","A2"
"Il travaille en ville.","A2"
"Il va à l’école des petits.","A2"
"Il veut aller à la montagne.","A2"
"Il y a aussi quelques arbres fruitiers comme un cerisier, un pommier, un abricotier,.","A2"
"Il y a des régions où les enfants ne vont pas à l’école le mercredi.","A2"
"Ils décident d’aller au marché pour acheter les ingrédients qu’ils vont cuisiner.","A2"
"Ils mettent tous leurs achats dans un grand sac puis, ils rentrent dans leur maison.","A2"
"Ils ont besoin d’une salade verte, de 6 tomates, de 3 œufs, de crème fraiche et de jambon.","A2"
"Ils ont des étoiles plein les yeux.","A2"
"Ils ont deux enfants : un fils qui s’appelle André et une fille qui est très gentille.","A2"
"Ils prennent donc leur voiture rouge et conduisent jusqu’à la place du village.","A2"
"Ils sont trop mignons Mon préféré est noir et blanc, et il s'appelle.","A2"
"Ils vont cuisiner une quiche lorraine pour le repas.","A2"
"J'adore la cuisine ici.","A2"
"J'adore passer du temps avec connaît le nom des plantes, et il sait reconnaître les champignons comestibles.","A2"
"J'ai adoré le repas.","A2"
"J'ai bien aimé le film.","A2"
"J'ai bien reçu ton message.","A2"
"J'ai connu mon pays sous un soleil flambant.","A2"
"J'ai de la chance d'avoir vu le spectacle plus de 500 fois.","A2"
"J'ai eu très peur.","A2"
"J'ai trouvé les personnages sympathiques.","A2"
"J'aime bien ce film de 1964 parce que j'aime bien les comédies.","A2"
"J'attends ta réponse.","A2"
"J'espère que tu passes des vacances extraordinaires.","A2"
"J'étais donc lycéen et pompier à la fois.","A2"
"J'étais fier.","A2"
"J’ai décidé de peindre les murs en jaune et d’y installer mon piano.","A2"
"J’ai un garage pour ma voiture et pour mon vélo.","A2"
"J’aime beaucoup toute ma famille.","A2"
"Je l'ai revu depuis noyé de carburant.","A2"
"Je les ai vues devant la pharmacie.","A2"
"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête.","A2"
"Je m’appelle Laurent et j’habite à Paris avec mes parents, ma sœur ainée et mon frère.","A2"
"Je me disais alors que je voulais aussi combattre pour la justice.","A2"
"Je me sens très bien dans ma nouvelle maison.","A2"
"Je ne pourrai pas venir demain avec toi faire du vélo.","A2"
"Je ne sais pas si j'ai assez d'argent pour vous accompagner.","A2"
"Je ne vais pas très vite, mais il ralentit toujours pour moi.","A2"
"Je pars avec ma copine Igora dans le nord du pays faire du camping.","A2"
"Je peins des tableaux dans mon studio.","A2"
"Je suis bien arrivé à Londres.","A2"
"Je t'ai attendu 1 heure devant le cinéma dans le froid.","A2"
"Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine.","A2"
"Je te dis à très bientôt pour une rentrée des classes en pleine forme Le matin, Théo se lève à six heures.","A2"
"Je te donne ma réponse demain.","A2"
